"sales_month","sales","sales_avg"
"2003-08-01","2597.00","2624.583333"
"2003-09-01","2627.00","2645.750000"
"2003-10-01","2793.00","2667.583333"
"2003-11-01","2951.00","2685.166667"
"2003-12-01","4309.00","2713.750000"
"2004-01-01","2267.00","2731.416667"
"2004-02-01","2402.00","2757.333333"
"2004-03-01","2915.00","2782.000000"
"2004-04-01","3023.00","2806.916667"
"2004-05-01","3005.00","2822.916667"
"2004-06-01","2777.00","2843.000000"
"2004-07-01","2595.00","2855.083333"
"2004-08-01","2644.00","2859.000000"
"2004-09-01","2774.00","2871.250000"
"2004-10-01","2990.00","2887.666667"
"2004-11-01","3090.00","2899.250000"
"2004-12-01","4472.00","2912.833333"
"2005-01-01","2338.00","2918.750000"
"2005-02-01","2453.00","2923.000000"
"2005-03-01","3105.00","2938.833333"
"2005-04-01","3177.00","2951.666667"
"2005-05-01","3164.00","2964.916667"
"2005-06-01","3045.00","2987.250000"
"2005-07-01","2741.00","2999.416667"
"2005-08-01","2871.00","3018.333333"
"2005-09-01","2963.00","3034.083333"
"2005-10-01","3120.00","3044.916667"
"2005-11-01","3342.00","3065.916667"
"2005-12-01","4756.00","3089.583333"
"2006-01-01","2518.00","3104.583333"
"2006-02-01","2518.00","3110.000000"
"2006-03-01","3194.00","3117.416667"
"2006-04-01","3379.00","3134.250000"
"2006-05-01","3340.00","3148.916667"
"2006-06-01","3183.00","3160.416667"
"2006-07-01","2923.00","3175.583333"
"2006-08-01","2960.00","3183.000000"
"2006-09-01","3164.00","3199.750000"
"2006-10-01","3197.00","3206.166667"
"2006-11-01","3414.00","3212.166667"
"2006-12-01","5019.00","3234.083333"
"2007-01-01","2639.00","3244.166667"
"2007-02-01","2694.00","3258.833333"
"2007-03-01","3499.00","3284.250000"
"2007-04-01","3531.00","3296.916667"
"2007-05-01","3760.00","3331.916667"
"2007-06-01","3412.00","3351.000000"
"2007-07-01","2770.00","3338.250000"
"2007-08-01","3205.00","3358.666667"
"2007-09-01","3177.00","3359.750000"
"2007-10-01","3306.00","3368.833333"
"2007-11-01","3598.00","3384.166667"
"2007-12-01","4703.00","3357.833333"
"2008-01-01","2519.00","3347.833333"
"2008-02-01","2763.00","3353.583333"
"2008-03-01","3392.00","3344.666667"
"2008-04-01","3439.00","3337.000000"
"2008-05-01","3603.00","3323.916667"
"2008-06-01","3149.00","3302.000000"
"2008-07-01","2972.00","3318.833333"
"2008-08-01","3144.00","3313.750000"
"2008-09-01","3064.00","3304.333333"
"2008-10-01","3071.00","3284.750000"
"2008-11-01","3242.00","3255.083333"
"2008-12-01","4044.00","3200.166667"
"2009-01-01","2285.00","3180.666667"
"2009-02-01","2424.00","3152.416667"
"2009-03-01","2953.00","3115.833333"
"2009-04-01","3264.00","3101.250000"
"2009-05-01","3280.00","3074.333333"
"2009-06-01","2894.00","3053.083333"
"2009-07-01","2716.00","3031.750000"
"2009-08-01","2942.00","3014.916667"
"2009-09-01","2939.00","3004.500000"
"2009-10-01","3095.00","3006.500000"
"2009-11-01","3189.00","3002.083333"
"2009-12-01","4074.00","3004.583333"
"2010-01-01","2304.00","3006.166667"
"2010-02-01","2480.00","3010.833333"
"2010-03-01","3293.00","3039.166667"
"2010-04-01","3334.00","3045.000000"
"2010-05-01","3308.00","3047.333333"
"2010-06-01","2995.00","3055.750000"
"2010-07-01","2847.00","3066.666667"
"2010-08-01","2960.00","3068.166667"
"2010-09-01","3061.00","3078.333333"
"2010-10-01","3214.00","3088.250000"
"2010-11-01","3454.00","3110.333333"
"2010-12-01","4440.00","3140.833333"
"2011-01-01","2345.00","3144.250000"
"2011-02-01","2753.00","3167.000000"
"2011-03-01","3449.00","3180.000000"
"2011-04-01","3582.00","3200.666667"
"2011-05-01","3508.00","3217.333333"
"2011-06-01","3285.00","3241.500000"
"2011-07-01","3060.00","3259.250000"
"2011-08-01","3027.00","3264.833333"
"2011-09-01","3301.00","3284.833333"
"2011-10-01","3297.00","3291.750000"
"2011-11-01","3625.00","3306.000000"
"2011-12-01","4816.00","3337.333333"
"2012-01-01","2544.00","3353.916667"
"2012-02-01","3036.00","3377.500000"
"2012-03-01","3840.00","3410.083333"
"2012-04-01","3592.00","3410.916667"
"2012-05-01","3693.00","3426.333333"
"2012-06-01","3374.00","3433.750000"
"2012-07-01","3094.00","3436.583333"
"2012-08-01","3284.00","3458.000000"
"2012-09-01","3339.00","3461.166667"
"2012-10-01","3482.00","3476.583333"
"2012-11-01","3823.00","3493.083333"
"2012-12-01","4693.00","3482.833333"
"2013-01-01","2664.00","3492.833333"
"2013-02-01","2806.00","3473.666667"
"2013-03-01","3733.00","3464.750000"
"2013-04-01","3511.00","3458.000000"
"2013-05-01","3744.00","3462.250000"
"2013-06-01","3273.00","3453.833333"
"2013-07-01","3184.00","3461.333333"
"2013-08-01","3484.00","3478.000000"
"2013-09-01","3293.00","3474.166667"
"2013-10-01","3515.00","3476.916667"
"2013-11-01","3830.00","3477.500000"
"2013-12-01","4750.00","3482.250000"
"2014-01-01","2469.00","3466.000000"
"2014-02-01","2823.00","3467.416667"
"2014-03-01","3548.00","3452.000000"
"2014-04-01","3603.00","3459.666667"
"2014-05-01","3774.00","3462.166667"
"2014-06-01","3183.00","3454.666667"
"2014-07-01","3178.00","3454.166667"
"2014-08-01","3455.00","3451.750000"
"2014-09-01","3247.00","3447.916667"
"2014-10-01","3484.00","3445.333333"
"2014-11-01","3859.00","3447.750000"
"2014-12-01","4952.00","3464.583333"
"2015-01-01","2512.00","3468.166667"
"2015-02-01","2762.00","3463.083333"
"2015-03-01","3545.00","3462.833333"
"2015-04-01","3458.00","3450.750000"
"2015-05-01","3746.00","3448.416667"
"2015-06-01","3231.00","3452.416667"
"2015-07-01","3181.00","3452.666667"
"2015-08-01","3383.00","3446.666667"
"2015-09-01","3164.00","3439.750000"
"2015-10-01","3454.00","3437.250000"
"2015-11-01","3719.00","3425.583333"
"2015-12-01","4910.00","3422.083333"
"2016-01-01","2477.00","3419.166667"
"2016-02-01","2939.00","3433.916667"
"2016-03-01","3659.00","3443.416667"
"2016-04-01","3519.00","3448.500000"
"2016-05-01","3606.00","3436.833333"
"2016-06-01","3240.00","3437.583333"
"2016-07-01","3141.00","3434.250000"
"2016-08-01","3388.00","3434.666667"
"2016-09-01","3170.00","3435.166667"
"2016-10-01","3274.00","3420.166667"
"2016-11-01","3718.00","3420.083333"
"2016-12-01","4714.00","3403.750000"
"2017-01-01","2454.00","3401.833333"
"2017-02-01","2763.00","3387.166667"
"2017-03-01","3485.00","3372.666667"
"2017-04-01","3624.00","3381.416667"
"2017-05-01","3616.00","3382.250000"
"2017-06-01","3341.00","3390.666667"
"2017-07-01","3199.00","3395.500000"
"2017-08-01","3293.00","3387.583333"
"2017-09-01","3122.00","3383.583333"
"2017-10-01","3299.00","3385.666667"
"2017-11-01","3774.00","3390.333333"
"2017-12-01","4690.00","3388.333333"
"2018-01-01","2391.00","3383.083333"
"2018-02-01","2721.00","3379.583333"
"2018-03-01","3545.00","3384.583333"
"2018-04-01","3429.00","3368.333333"
"2018-05-01","3805.00","3384.083333"
"2018-06-01","3298.00","3380.500000"
"2018-07-01","3208.00","3381.250000"
"2018-08-01","3373.00","3387.916667"
"2018-09-01","3178.00","3392.583333"
"2018-10-01","3521.00","3411.083333"
"2018-11-01","4157.00","3443.000000"
"2018-12-01","4547.00","3431.083333"
"2019-01-01","2511.00","3441.083333"
"2019-02-01","2680.00","3437.666667"
"2019-03-01","3585.00","3441.000000"
"2019-04-01","3604.00","3455.583333"
"2019-05-01","3807.00","3455.750000"
"2019-06-01","3272.00","3453.583333"
"2019-07-01","3261.00","3458.000000"
"2019-08-01","3325.00","3454.000000"
"2019-09-01","3080.00","3445.833333"
"2019-10-01","3390.00","3434.916667"
"2019-11-01","3850.00","3409.333333"
"2019-12-01","4496.00","3405.083333"
"2020-01-01","2532.00","3406.833333"
"2020-02-01","2797.00","3416.583333"
"2020-03-01","1564.00","3248.166667"
"2020-04-01","495.00","2989.083333"
"2020-05-01","1099.00","2763.416667"
"2020-06-01","2027.00","2659.666667"
"2020-07-01","2373.00","2585.666667"
"2020-08-01","2386.00","2507.416667"
"2020-09-01","2494.00","2458.583333"
"2020-10-01","2634.00","2395.583333"
"2020-11-01","2726.00","2301.916667"
"2020-12-01","3399.00","2210.500000"
